"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"AE1";"johanson:JOHANSON-2500AT44M0400_2.4GHz-chip-antenna";1;"2500AT44M0400E";;;
2;"C1,C9,C15,C27,C28";"passive-smd:0603(1608m)";5;"1uF";;;
3;"C4,C14,C16,C30";"passive-smd:0603(1608m)";4;"0.1uF";;;
4;"C5,C6,C18";"passive-smd:0603(1608m)";3;"47pF";;;
5;"C7,C13,C8,C31";"passive-smd:1206(3216m)";4;"10uF";;;
6;"C19,C3";"capacitor:PANA-D_CHEMI-F_SM-ALUMINUM";2;"100uF";;;
7;"C20";"passive-smd:1206(3216m)";1;"22uF";;;
8;"C22";"passive-smd:0603(1608m)";1;"2.2pF";;;
9;"C24";"passive-smd:0603(1608m)";1;"10pF";;;
10;"C26";"passive-smd:0603(1608m)";1;"DNP(10pF)";;;
11;"F1";"passive-smd:1206(3216m)";1;"2A";;;
12;"IC2";"sot:SOT23-5";1;"MCP73811";;;
13;"IC6";"sot:SOT223";1;"LM1117_5.0";;;
14;"IC7";"sop:SSOP16";1;"FT230X_SOP";;;
15;"IC9";"texas:CC3000";1;"CC3000";;;
16;"J1";"connect-sm:MICROUSB_sm";1;"MICROUSB";;;
17;"J3";"sip:SIP6";1;"SERIAL";;;
18;"J4";"sip:SIP5";1;"5PIN_INPUT";;;
19;"J5,J7";"sip:SIP2";2;"2PIN_POWER";;;
20;"J8";"connect-thru:2x3-ARRAY_P100mil";1;"AVR_ISP";;;
21;"J9";"connect-sm:U.FL-COAX";1;"UF.L";;;
22;"JP3";"jumper:SOLDER-JUMPER_2-WAY";1;"MODE-SEL";;;
23;"L2";"passive-smd:0603(1608m)";1;"DNP";;;
24;"L3";"passive-smd:0603(1608m)";1;"2.2nH";;;
25;"LED1";"led:0603(1608m)-SM-LED";1;"YEL";;;
26;"LED2";"led:0603(1608m)-SM-LED";1;"GRN";;;
27;"Q1";"sot:SOT23";1;"2N7002";;;
28;"R1";"passive-smd:0603(1608m)";1;"100kΩ";;;
29;"R2,R3";"passive-smd:0603(1608m)";2;"27Ω";;;
30;"R4";"passive-smd:0603(1608m)";1;"10k";;;
31;"R5,R10";"passive-smd:0603(1608m)";2;"10kΩ";;;
32;"R6";"passive-smd:0603(1608m)";1;"47kΩ";;;
33;"R7";"passive-smd:0603(1608m)";1;"51k";;;
34;"R8,R9";"passive-smd:0603(1608m)";2;"330Ω";;;
35;"R12,R13";"passive-smd:0603(1608m)";2;"0Ω";;;
36;"TP1,TP2,TP3,TP4,TP5";"connect-thru:1-PIN";5;"TEST";;;
37;"TP6,TP7,TP8,TP9,TP10";"connect-thru:1-PIN";5;"PIN";;;
38;"C29";"passive-smd:0603(1608m)";1;"2.2nF";;;
39;"IC1";"sop:SOP8_ep";1;"PAM2421";;;
40;"L1";"inductor:SM-INDUCTOR_6mmX6mm";1;"6.8uH";;;
41;"D2,D6";"diode:MICROSMP";2;"2A";;;
42;"D3,D4";"diode:DO-214AC";2;"3A";;;
43;"IC3";"sot:CHIPFET-1206-8";1;"NTHD3101F";;;
44;"J2";"connect-thru:CUI-PJ-102A_dc-barrel-jack";1;"DCIN";;;
45;"VR2,VR3,VR1";"bourns:BOURNS-PTA2043_20mm-slide-pot";3;"100kΩ";;;
46;"BT1";"connect-thru:JST-S2B-PH-K_right-angle-jack";1;"LIPO";;;
47;"S1";"switch:SPST-2-PIN_6mm_thru";1;"SPST";;;
